Project ID,Transaction ID,2010 Census Tract,"Metro/Non-Metro, 2010 Census",Origination Year,Community Development Entity (CDE) Name,QLICI Amount,City,Standard_City,State,Standard_State,Zip Code,Purpose of Investment,QALICB Type,Multi-CDE,Multi-Tract QLICI
CA0491,1441,6037531101,Metropolitan,2013,"L.A. Charter School New Markets CDE, LLC","$2,344,000.00 ",LOS ANGELES,Los Angeles,CA,California,90063,Business Financing,SPE,YES,NO
CA0491,1442,6037531101,Metropolitan,2013,"L.A. Charter School New Markets CDE, LLC","$898,268.00 ",LOS ANGELES,Los Angeles,CA,California,90063,Business Financing,SPE,YES,NO
CA0492,1443,6075016200,Metropolitan,2013,San Francisco Community Investment Fund,"$10,179,410.00 ",San Francisco,San Francisco,CA,California,94102,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0492,1444,6075016200,Metropolitan,2013,San Francisco Community Investment Fund,"$4,445,590.00 ",San Francisco,San Francisco,CA,California,94102,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0492,1445,6075016200,Metropolitan,2013,"USBCDE, LLC","$3,392,500.00 ",San Francisco,San Francisco,CA,California,94102,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0492,1446,6075016200,Metropolitan,2013,"USBCDE, LLC","$1,607,500.00 ",San Francisco,San Francisco,CA,California,94102,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0492,1447,6075016200,Metropolitan,2013,Opportunity Fund Northern California,"$7,804,215.00 ",San Francisco,San Francisco,CA,California,94102,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
CA0492,1448,6075016200,Metropolitan,2013,Opportunity Fund Northern California,"$3,235,785.00 ",San Francisco,San Francisco,CA,California,94102,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
CA0494,1449,6073003404,Metropolitan,2013,ESIC New Markets Partners LP,"$6,197,000.00 ",San Diego,San Diego,CA,California,92102,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
CA0494,1450,6073003404,Metropolitan,2013,ESIC New Markets Partners LP,"$2,533,000.00 ",San Diego,San Diego,CA,California,92102,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
CA0495,1451,6037531603,Metropolitan,2013,"New Markets Community Capital, LLC","$10,974,470.00 ",Los Angeles,Los Angeles,CA,California,90022,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
CA0495,1452,6037531603,Metropolitan,2013,"New Markets Community Capital, LLC","$5,063,530.00 ",Los Angeles,Los Angeles,CA,California,90022,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
CA0496,1453,6037206031,Metropolitan,2013,"USBCDE, LLC","$2,636,000.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0496,1454,6037206031,Metropolitan,2013,"USBCDE, LLC","$1,364,000.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0496,1455,6037206031,Metropolitan,2013,"Consortium America, LLC","$5,123,537.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0496,1456,6037206031,Metropolitan,2013,"Consortium America, LLC","$1,736,463.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0496,1457,6037206031,Metropolitan,2013,"Urban Research Park CDE, LLC","$9,053,208.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0496,1458,6037206031,Metropolitan,2013,"Urban Research Park CDE, LLC","$2,946,792.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0496,1459,6037206031,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$6,819,340.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0496,1460,6037206031,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$2,980,660.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate–Rehabilitation–Commercial,NRE,YES,NO
CA0496,1461,6037206031,Metropolitan,2013,Los Angeles Development Fund,"$6,819,340.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0496,1462,6037206031,Metropolitan,2013,Los Angeles Development Fund,"$3,180,660.00 ",Los Angeles,Los Angeles,CA,California,90013,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0497,1463,6037532700,Metropolitan,2013,Citibank NMTC Corporation,"$7,580,000.00 ",Los Angeles,Los Angeles,CA,California,90001,Real Estate–Rehabilitation–Commercial,RE,NO,NO
CA0498,1464,6037532304,Metropolitan,2013,"SunTrust Community Development Enterprises, LLC","$14,282,154.50 ",Los Angeles,Los Angeles,CA,California,90040,Real Estate–Rehabilitation–Commercial,RE,NO,NO
CA0499,1465,6037291220,Metropolitan,2013,Capital Impact Partners,"$4,419,798.00 ",Gardena,Gardena,CA,California,90247,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
CA0499,1466,6037291220,Metropolitan,2013,Capital Impact Partners,"$1,950,202.00 ",Gardena,Gardena,CA,California,90247,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
CA0500,1469,6075980900,Metropolitan,2013,San Francisco Community Investment Fund,"$3,925,920.00 ",San Francisco,San Francisco,CA,California,94124,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0500,1470,6075980900,Metropolitan,2013,San Francisco Community Investment Fund,"$3,437,464.00 ",San Francisco,San Francisco,CA,California,94124,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0500,1471,6075980900,Metropolitan,2013,San Francisco Community Investment Fund,"$5,116,616.00 ",San Francisco,San Francisco,CA,California,94124,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0500,1467,6075980900,Metropolitan,2013,"Banc of America CDE, LLC","$7,074,080.00 ",San Francisco,San Francisco,CA,California,94134,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0500,1468,6075980900,Metropolitan,2013,"Banc of America CDE, LLC","$3,325,920.00 ",San Francisco,San Francisco,CA,California,94134,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0501,1472,6037239202,Metropolitan,2013,Capital Impact Partners,"$3,925,000.00 ",Los Angeles,Los Angeles,CA,California,90011,Business Financing,NRE,YES,NO
CA0501,1473,6037239202,Metropolitan,2013,Capital Impact Partners,"$1,581,399.00 ",Los Angeles,Los Angeles,CA,California,90011,Business Financing,NRE,YES,NO
CA0501,1474,6037239202,Metropolitan,2013,Chase New Markets Corporation,"$1,195,000.00 ",Los Angeles,Los Angeles,CA,California,90011,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
CA0501,1475,6037239202,Metropolitan,2013,Chase New Markets Corporation,"$805,000.00 ",Los Angeles,Los Angeles,CA,California,90011,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
